COLUMN_NAME	DATA_TYPE	TABLE_NAME	FILE	CATEGORY
========================================================================================================================
account_class	varchar	fim.accounts	01_accounts.sql	uncategorized
account_code	varchar	fim.accounts	01_accounts.sql	identifiers
account_group	varchar	fim.accounts	01_accounts.sql	uncategorized
account_name	varchar	fim.accounts	01_accounts.sql	text_strings
account_name_en	varchar	fim.accounts	01_accounts.sql	uncategorized
account_type	varchar	fim.accounts	01_accounts.sql	status_workflow
created_at	timestamp	fim.accounts	01_accounts.sql	temporal
created_by	uuid	fim.accounts	01_accounts.sql	audit
currency	varchar	fim.accounts	01_accounts.sql	uncategorized
description	text	fim.accounts	01_accounts.sql	text_strings
fs_position	varchar	fim.accounts	01_accounts.sql	uncategorized
full_path	varchar	fim.accounts	01_accounts.sql	text_strings
id	uuid	fim.accounts	01_accounts.sql	identifiers
is_active	boolean	fim.accounts	01_accounts.sql	booleans
is_bank_account	boolean	fim.accounts	01_accounts.sql	booleans
is_cash_account	boolean	fim.accounts	01_accounts.sql	booleans
is_control_account	boolean	fim.accounts	01_accounts.sql	booleans
is_deleted	boolean	fim.accounts	01_accounts.sql	booleans
is_posting_allowed	boolean	fim.accounts	01_accounts.sql	booleans
level_depth	integer	fim.accounts	01_accounts.sql	uncategorized
notes	text	fim.accounts	01_accounts.sql	uncategorized
parent_account_id	uuid	fim.accounts	01_accounts.sql	identifiers,relations
statement_order	integer	fim.accounts	01_accounts.sql	uncategorized
tax_category	varchar	fim.accounts	01_accounts.sql	uncategorized
tax_code	varchar	fim.accounts	01_accounts.sql	identifiers
updated_at	timestamp	fim.accounts	01_accounts.sql	temporal
updated_by	uuid	fim.accounts	01_accounts.sql	audit
created_at	timestamp	apm.approval_lines	01_approval_lines.sql	temporal
created_by	uuid	apm.approval_lines	01_approval_lines.sql	audit
department_id	uuid	apm.approval_lines	01_approval_lines.sql	identifiers
description	text	apm.approval_lines	01_approval_lines.sql	text_strings
document_type	varchar	apm.approval_lines	01_approval_lines.sql	status_workflow
id	uuid	apm.approval_lines	01_approval_lines.sql	identifiers
is_active	boolean	apm.approval_lines	01_approval_lines.sql	booleans
is_deleted	boolean	apm.approval_lines	01_approval_lines.sql	booleans
line_code	varchar	apm.approval_lines	01_approval_lines.sql	identifiers
line_name	varchar	apm.approval_lines	01_approval_lines.sql	text_strings
updated_at	timestamp	apm.approval_lines	01_approval_lines.sql	temporal
updated_by	uuid	apm.approval_lines	01_approval_lines.sql	audit
code	varchar	adm.code_groups	01_code_groups.sql	identifiers
created_at	timestamp	adm.code_groups	01_code_groups.sql	temporal
created_by	uuid	adm.code_groups	01_code_groups.sql	audit
description	text	adm.code_groups	01_code_groups.sql	text_strings
id	uuid	adm.code_groups	01_code_groups.sql	identifiers
is_active	boolean	adm.code_groups	01_code_groups.sql	booleans
is_deleted	boolean	adm.code_groups	01_code_groups.sql	booleans
level	integer	adm.code_groups	01_code_groups.sql	status_workflow
name	varchar	adm.code_groups	01_code_groups.sql	text_strings
parent_group_id	uuid	adm.code_groups	01_code_groups.sql	identifiers,relations
sort_order	integer	adm.code_groups	01_code_groups.sql	uncategorized
updated_at	timestamp	adm.code_groups	01_code_groups.sql	temporal
updated_by	uuid	adm.code_groups	01_code_groups.sql	audit
color_code	varchar	com.code_groups	01_code_groups.sql	identifiers
created_at	timestamp	com.code_groups	01_code_groups.sql	temporal
created_by	uuid	com.code_groups	01_code_groups.sql	audit
description	text	com.code_groups	01_code_groups.sql	text_strings
display_order	integer	com.code_groups	01_code_groups.sql	uncategorized
group_code	varchar	com.code_groups	01_code_groups.sql	identifiers
group_name	varchar	com.code_groups	01_code_groups.sql	text_strings
group_name_en	varchar	com.code_groups	01_code_groups.sql	uncategorized
icon_name	varchar	com.code_groups	01_code_groups.sql	text_strings
id	uuid	com.code_groups	01_code_groups.sql	identifiers
is_active	boolean	com.code_groups	01_code_groups.sql	booleans
is_deleted	boolean	com.code_groups	01_code_groups.sql	booleans
is_system_group	boolean	com.code_groups	01_code_groups.sql	booleans
notes	text	com.code_groups	01_code_groups.sql	uncategorized
updated_at	timestamp	com.code_groups	01_code_groups.sql	temporal
updated_by	uuid	com.code_groups	01_code_groups.sql	audit
code	varchar	hrm.departments	01_departments.sql	identifiers
cost_center_code	varchar	hrm.departments	01_departments.sql	identifiers
created_at	timestamp	hrm.departments	01_departments.sql	temporal
created_by	uuid	hrm.departments	01_departments.sql	audit
dept_type	varchar	hrm.departments	01_departments.sql	status_workflow
description	text	hrm.departments	01_departments.sql	text_strings
email	varchar	hrm.departments	01_departments.sql	uncategorized
fax	varchar	hrm.departments	01_departments.sql	uncategorized
